Anatomy OBO ID	Anatomy Name	Anatomy Synonym	
ZFA:0005515	caudal fin principal ray 4	caudal principal lepidotrichium 4
ZFA:0005516	caudal fin principal ray 5	caudal principal ray 5
ZFA:0005516	caudal fin principal ray 5	caudal principal lepidotrichium 5
ZFA:0005517	caudal fin principal ray 6	caudal principal lepidotrichium 6
ZFA:0005517	caudal fin principal ray 6	caudal principal ray 6
ZFA:0005518	caudal fin principal ray 7	caudal principal ray 7
ZFA:0005518	caudal fin principal ray 7	caudal principal lepidotrichium 7
ZFA:0005519	caudal fin principal ray 8	caudal principal ray 8
ZFA:0005519	caudal fin principal ray 8	caudal principal lepidotrichium 8
ZFA:0005520	caudal fin principal ray 9	caudal principal ray 9
ZFA:0005520	caudal fin principal ray 9	caudal principal lepidotrichium 9
ZFA:0001584	caudal fin procurrent ray	caudal procurrent lepidotrichium
ZFA:0001584	caudal fin procurrent ray	caudal procurrent ray
ZFA:0001604	caudal fin upper lobe	caudal fin dorsal lobe
ZFA:0005263	caudal fin ventral procurrent ray	ventral procurrent ray
ZFA:0000634	caudal hypothalamic zone	tuberal hypothalamus
ZFA:0000634	caudal hypothalamic zone	hypothalamus pars tuberalis
ZFA:0000321	caudal levator	caudal levators
ZFA:0000479	caudal mesencephalo-cerebellar tract	posterior mesencephalo-cerebellar tract
ZFA:0000629	caudal motor nucleus	nVIc
ZFA:0000629	caudal motor nucleus	nucleus nervi abducentis, pars caudalis
ZFA:0000177	caudal oblique	caudal obliques
ZFA:0001699	caudal octaval nerve motor nucleus	CEN
ZFA:0001699	caudal octaval nerve motor nucleus	RELL
ZFA:0001699	caudal octaval nerve motor nucleus	rostral cranial nerve VIII motor nucleus
ZFA:0001699	caudal octaval nerve motor nucleus	caudal efferent nuclei
ZFA:0000322	caudal octaval nucleus	caudal octaval nuclei
ZFA:0000480	caudal octavolateralis nucleus	nucleus octavolateralis caudalis
ZFA:0000630	caudal parvocellular preoptic nucleus	caudal parvocellular preoptic nuclei
ZFA:0000630	caudal parvocellular preoptic nucleus	posterior parvocellular preoptic nucleus
ZFA:0000324	caudal periventricular hypothalamus	nucleus periventricularis hypothalami, zona caudalis
ZFA:0000324	caudal periventricular hypothalamus	caudal zone of periventricular hypothalamus
ZFA:0000481	caudal preglomerular nucleus	nucleus praeglomerulosus caudalis
ZFA:0000631	caudal pretectal nucleus	posterior pretectal nucleus
ZFA:0000631	caudal pretectal nucleus	caudal pretectal nuclei
ZFA:0000179	caudal root of abducens nerve	radix caudalis nervi abducentis
ZFA:0000325	caudal thalamic nucleus	posterior thalamic nucleus
ZFA:0000482	caudal tuberal nucleus	posterior tuberal nucleus
ZFA:0000633	caudal tuberculum	posterior tubercle
ZFA:0000633	caudal tuberculum	posterior tuberculum
ZFA:0000180	caudal vein	CV
ZFA:0000326	caudal vertebra	caudal vertebrae
ZFA:0000181	caudal zone of dorsal telencephalon	area dorsalis telencephali, zona posterior
ZFA:0000181	caudal zone of dorsal telencephalon	Dp
ZFA:0000181	caudal zone of dorsal telencephalon	posterior zone of dorsal telencephalic area
ZFA:0000181	caudal zone of dorsal telencephalon	caudal zone of D
ZFA:0005217	CaV	caudal ventral interneuron
ZFA:0001490	cavitated compound organ	cavitated compound organs
ZFA:0000484	celiacomesenteric artery	coeliac-mesenteric artery
ZFA:0009000	cell	cells
ZFA:0009030	cementoblast	cementoblasts
ZFA:0009087	cementocyte	cementocytes
ZFA:0005020	central artery	CtA
ZFA:0000938	central canal	neural lumen
ZFA:0000938	central canal	canalis centralis
ZFA:0000182	central caudal thalamic nucleus	nucleus centralis posterior thalami
ZFA:0000182	central caudal thalamic nucleus	central posterior thalamic nucleus
ZFA:0000012	central nervous system	cns
ZFA:0000485	central nucleus inferior lobe	central nucleus of the inferior lobe
ZFA:0000485	central nucleus inferior lobe	central nucleus inferior lobes
ZFA:0000485	central nucleus inferior lobe	nucleus centralis lobi inferioris hypothalami
ZFA:0001668	central nucleus of ventral telencephalon	area ventralis telencephali, nucleus centralis
ZFA:0000826	central nucleus torus semicircularis	central nucleus of semicircular torus
ZFA:0000826	central nucleus torus semicircularis	nucleus centralis tori semicircularis
ZFA:0000635	central pretectal nucleus	nucleus praetectalis centralis
ZFA:0005098	central ray artery	central ray arteries
ZFA:0000487	central zone of dorsal telencephalon	central zone of D
ZFA:0000487	central zone of dorsal telencephalon	area dorsalis telencephali, zona centralis
ZFA:0000487	central zone of dorsal telencephalon	Dc
ZFA:0005721	central zone protoglomerulus 1	CZ1
ZFA:0005722	central zone protoglomerulus 2	CZ2
ZFA:0005723	central zone protoglomerulus 3	CZ3
ZFA:0005724	central zone protoglomerulus 4	CZ4
ZFA:0005725	central zone protoglomerulus 5	CZ5
ZFA:0000126	centrum	autocentrum
ZFA:0001640	cephalic flexure	ventral flexure
ZFA:0000328	cephalic musculature	head muscles
ZFA:0000694	ceratobranchial 5 tooth	tooth
ZFA:0000694	ceratobranchial 5 tooth	pharyngeal tooth
ZFA:0000694	ceratobranchial 5 tooth	teeth
ZFA:0000488	ceratobranchial bone	ceratobranchial bones
ZFA:0001516	ceratobranchial cartilage	ceratobranchial cartilages
ZFA:0000578	ceratohyal bone	ceratohyal anterior
ZFA:0000578	ceratohyal bone	rostral ceratohyal
ZFA:0000578	ceratohyal bone	anterior ceratohyal
ZFA:0005021	cerebellar central artery	CCtA
ZFA:0000636	cerebellar crest	crista cerebellaris molecular layer
ZFA:0001708	cerebellar white matter	cerebellar tracts/commissures
ZFA:0000174	cerebellovestibular tract	caudal cerebellar tract
ZFA:0000174	cerebellovestibular tract	cerebellovestibular tracts
ZFA:0000174	cerebellovestibular tract	caudal cerebellar tracts
ZFA:0001626	cerebral spinal fluid	CSF
ZFA:0007120	cerebrospinal fluid contacting neuron	CSF-cN
ZFA:0007120	cerebrospinal fluid contacting neuron	CSF-cNs
ZFA:0009295	cerebrospinal fluid secreting cell	cerebrospinal fluid secreting cells
ZFA:0009124	chemoreceptor cell	chemoreceptor cells
ZFA:0009397	cholangiocyte	epithelial cell of bile duct
ZFA:0009397	cholangiocyte	bile duct cells
ZFA:0009060	cholinergic neuron	cholinergic neurons
ZFA:0009027	chondroblast	chondroblasts
ZFA:0001424	chondrocranium	chondocranium
ZFA:0001424	chondrocranium	neurocranium
ZFA:0001461	chondrocranium cartilage	neurocranium cartilage
ZFA:0009084	chondrocyte	chondrocytes
ZFA:0009175	choroidal cell of the eye	choroidal cells
ZFA:0001075	choroidal fissure	choroidal fissures
ZFA:0009304	choroid plexus epithelial cell	choroid plexus epithelial cells
ZFA:0001445	choroid plexus tectal ventricle	choroid plexus tectal ventricles
ZFA:0001444	choroid plexus third ventricle	diencephalic choroid plexus
ZFA:0005219	choroid plexus vascular circuit	CVC
ZFA:0005219	choroid plexus vascular circuit	choroid vascular circuit
ZFA:0009099	chromaffin cell	phaeochromocyte
ZFA:0005247	CiA	V1 interneuron
ZFA:0005247	CiA	circumferential ascending interneuron
ZFA:0005233	CiD	circumferential descending interneuron
ZFA:0005233	CiD	V2a interneuron
ZFA:0005233	CiD	commissural descending interneurons
ZFA:0001289	ciliary marginal zone	retinal ciliary marginal zone
ZFA:0001289	ciliary marginal zone	circumferential germinal zone
ZFA:0001289	ciliary marginal zone	CMZ
ZFA:0001289	ciliary marginal zone	peripheral growth zone
ZFA:0001289	ciliary marginal zone	retinal proliferative zone
ZFA:0001203	ciliary zone	ciliary epithelial zone
ZFA:0001203	ciliary zone	ciliary bodies
ZFA:0001203	ciliary zone	ciliary body
ZFA:0009032	ciliated cell	ciliated cells
ZFA:0009035	ciliated epithelial cell	ciliated epithelial cells
ZFA:0009358	ciliated olfactory receptor neuron	ciliated olfactory sensory neuron
ZFA:0009358	ciliated olfactory receptor neuron	ciliated sensory neuron
ZFA:0009043	circulating cell	circulating cells
ZFA:0005499	circulus	circuli
ZFA:0000184	cleithrum	cleithra
